site_number,local_site_name,latitude,longitude,address
0016,Glendora,34.14435,-117.85036,"840 LAUREL, GLENDORA"
1103,Los Angeles-North Main Street,34.06659,-118.22688,"1630 N MAIN ST, LOS ANGELES"
1201,Reseda,34.19925,-118.53276,"18330 GAULT ST., RESEDA"
1302,Compton,33.901389,-118.205,700 North Bullis Road
1602,Pico Rivera #2,34.01029,-118.0685,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA"
2005,Pasadena,34.1326,-118.1272,"752 S. WILSON AVE., PASADENA"
4008,Long Beach-Route 710 Near Road,33.859662,-118.200707,5895 Long Beach Blvd.
4009,Signal Hill (LBSH),33.793713,-118.171019,1710 E. 20th Street
4010,North Hollywood (NOHO),34.181977,-118.363036,10659 W. Delano Street
6012,Santa Clarita,34.38344,-118.5284,"22224 PLACERITA CANYON RD, SANTA CLARITA"
9000,Wrightwood,34.37892,-117.69211,"Wrightwood, CA"
9034,Lebec,34.813034,-118.884819,"PEACE VALLEY ROAD, LEBEC"
9035,Lancaster - Fairgrounds,34.725389,-118.178601,"2551 W. Avenue H Lancaster, CA"
