month,iconic_taxon_name,n_obs
2024-01,Actinopterygii,8
2024-01,Amphibia,26
2024-01,Animalia,16
2024-01,Arachnida,44
2024-01,Aves,750
2024-01,Fungi,189
2024-01,Insecta,209
2024-01,Mammalia,98
2024-01,Mollusca,70
2024-01,Plantae,853
2024-01,Protozoa,1
2024-01,Reptilia,38
2024-02,Actinopterygii,1
2024-02,Amphibia,24
2024-02,Animalia,11
2024-02,Arachnida,33
2024-02,Aves,703
2024-02,Fungi,260
2024-02,Insecta,180
2024-02,Mammalia,65
2024-02,Mollusca,56
2024-02,Plantae,773
2024-02,Protozoa,2
2024-02,Reptilia,35
2024-03,Actinopterygii,1
2024-03,Amphibia,59
2024-03,Animalia,20
2024-03,Arachnida,37
2024-03,Aves,1133
2024-03,Fungi,171
2024-03,Insecta,422
2024-03,Mammalia,96
2024-03,Mollusca,51
2024-03,Plantae,1028
2024-03,Protozoa,12
2024-03,Reptilia,195
2024-04,Actinopterygii,4
2024-04,Amphibia,83
2024-04,Animalia,37
2024-04,Arachnida,76
2024-04,Aves,1148
2024-04,Fungi,70
2024-04,Insecta,802
2024-04,Mammalia,151
2024-04,Mollusca,43
2024-04,Plantae,1735
2024-04,Protozoa,3
2024-04,Reptilia,292
2024-05,Actinopterygii,11
2024-05,Amphibia,61
2024-05,Animalia,24
2024-05,Arachnida,82
2024-05,Aves,932
2024-05,Fungi,30
2024-05,Insecta,647
2024-05,Mammalia,129
2024-05,Mollusca,11
2024-05,Plantae,1480
2024-05,Protozoa,4
2024-05,Reptilia,263
2024-06,Actinopterygii,5
2024-06,Amphibia,49
2024-06,Animalia,12
2024-06,Arachnida,86
2024-06,Aves,551
2024-06,Fungi,20
2024-06,Insecta,803
2024-06,Mammalia,118
2024-06,Mollusca,10
2024-06,Plantae,1093
2024-06,Protozoa,1
2024-06,Reptilia,213
2024-07,Actinopterygii,7
2024-07,Amphibia,55
2024-07,Animalia,10
2024-07,Arachnida,108
2024-07,Aves,466
2024-07,Fungi,25
2024-07,Insecta,865
2024-07,Mammalia,110
2024-07,Mollusca,6
2024-07,Plantae,840
2024-07,Protozoa,2
2024-07,Reptilia,178
2024-08,Actinopterygii,4
2024-08,Amphibia,45
2024-08,Animalia,14
2024-08,Arachnida,142
2024-08,Aves,515
2024-08,Fungi,16
2024-08,Insecta,814
2024-08,Mammalia,94
2024-08,Mollusca,2
2024-08,Plantae,606
2024-08,Reptilia,109
2024-09,Actinopterygii,6
2024-09,Amphibia,36
2024-09,Animalia,14
2024-09,Arachnida,117
2024-09,Aves,488
