day,n_obs
2025-01-01,88
2025-01-02,33
2025-01-03,87
2025-01-04,27
2025-01-05,74
2025-01-06,19
2025-01-07,5
2025-01-08,7
2025-01-09,17
2025-01-10,7
2025-01-11,8
2025-01-12,2
2025-01-13,10
2025-01-14,8
2025-01-15,18
2025-01-16,13
2025-01-17,23
2025-01-18,32
2025-01-19,16
2025-01-20,35
2025-01-21,88
2025-01-22,46
2025-01-23,203
2025-01-24,38
2025-01-25,67
2025-01-26,23
2025-01-27,22
2025-01-28,41
2025-01-29,26
2025-01-30,52
2025-01-31,29
2025-02-01,23
2025-02-02,27
2025-02-03,24
2025-02-04,22
2025-02-05,26
2025-02-06,27
2025-02-07,46
2025-02-08,91
2025-02-09,96
2025-02-10,13
2025-02-11,17
2025-02-12,33
2025-02-13,14
2025-02-14,44
2025-02-15,35
2025-02-16,92
2025-02-17,78
2025-02-18,45
2025-02-19,37
2025-02-20,19
2025-02-21,70
2025-02-22,88
2025-02-23,44
2025-02-24,111
2025-02-25,40
2025-02-26,84
2025-02-27,62
2025-02-28,42
2025-03-01,48
2025-03-02,75
2025-03-03,34
2025-03-04,24
2025-03-05,45
2025-03-06,68
2025-03-07,66
2025-03-08,71
2025-03-09,107
2025-03-10,63
2025-03-11,52
2025-03-12,20
2025-03-13,162
2025-03-14,38
2025-03-15,97
2025-03-16,60
2025-03-17,63
2025-03-18,60
2025-03-19,60
2025-03-20,87
2025-03-21,55
2025-03-22,98
2025-03-23,123
2025-03-24,56
2025-03-25,77
2025-03-26,74
2025-03-27,59
2025-03-28,58
2025-03-29,106
2025-03-30,70
2025-03-31,46
