x,y,topic_label_clean,title,media_name,phase,month,topic
0.63084006,-4.697629,edison_utility_eaton_lines,Southern California Edison lays out 925 million plan to rebuild after LA wildfires,newindiaabroad.com,later_recovery,2025-04,2
-0.53350914,3.9548602,said_angeles_los_los angeles,Caltech launches limitedseries podcast on LA wildfires,newindiaabroad.com,early_recovery,2025-03,11
-3.2475188,2.7143455,said_angeles_los_los angeles,Indian American organizations raising funds to aid LA fire relief efforts,newindiaabroad.com,early_recovery,2025-03,11
-7.2280684,0.30565634,said_angeles_los_los angeles,Calmer winds help Los Angeles firefighters as death toll hits 10,newindiaabroad.com,active_fire,2025-01,11
-4.221884,1.5314504,said_angeles_los_los angeles,Californiaseeks 1 billion from insurers to shore up FAIR Plan after LA fires,newindiaabroad.com,early_recovery,2025-02,11
2.3706396,0.69777924,said_angeles_los_los angeles,Indian American groups offer wildfire relief in California,newindiaabroad.com,active_fire,2025-01,11
-1.9605714,4.936899,said_angeles_los_los angeles,LA firefighters hold the line despite extreme conditions,newindiaabroad.com,active_fire,2025-01,11
-0.9561638,5.579996,said_angeles_los_los angeles,LA evacuees told stay away another week,newindiaabroad.com,active_fire,2025-01,11
-1.2359327,5.766688,said_angeles_los_los angeles,Death toll from Los Angeles fires rises,newindiaabroad.com,active_fire,2025-01,11
-0.46283764,3.3843381,said_angeles_los_los angeles,Hollywood stars among thousands fleeing Los Angelesarea wildfires,newindiaabroad.com,active_fire,2025-01,11
0.15359496,4.5121098,said_angeles_los_los angeles,Federal probe begins into deadly Los Angeles fires,newindiaabroad.com,active_fire,2025-01,11
3.3113098,6.7894707,said_angeles_los_los angeles,Americansdivided over Trump inauguration some tune it out,newindiaabroad.com,active_fire,2025-01,11
-2.1453905,3.8496323,said_angeles_los_los angeles,California Wildfires Indianorigin Angelenos who have lost their homes,newindiaabroad.com,active_fire,2025-01,11
-1.8886085,6.158024,said_angeles_los_los angeles,Dangerous winds forecast to resume in firestricken Los Angeles,newindiaabroad.com,active_fire,2025-01,11
8.922314,7.975804,Outlier / mixed,Downed municipal power lines may have caused LAs Palisades Fire lawsuit claims,newindiaabroad.com,early_recovery,2025-03,-1
-0.7707078,3.9715981,said_angeles_los_los angeles,Los Angeles wildfires devour thousands of homes,newindiaabroad.com,active_fire,2025-01,11
-0.37068635,7.978842,castaic_said_hughes_wednesday,Firefighters halt advance of latest Los Angeles wildfire,newindiaabroad.com,active_fire,2025-01,7
-1.3695409,4.2361245,said_angeles_los_los angeles,Aerial assault aims to stem LA Palisades fire eastward spread,newindiaabroad.com,active_fire,2025-01,11
-0.6601164,4.050185,said_angeles_los_los angeles,Vast Los Angeles fire spreads into new areas near Palisades,newindiaabroad.com,active_fire,2025-01,11
2.5966115,3.246443,alerts_alert_emergency_evacuation,BoCC review annual reports and key resolutions,themtnear.com,active_fire,2025-01,10
2.1418555,2.1522758,said_angeles_los_los angeles,Mayor visits wildfire recovery center,ourweekly.com,early_recovery,2025-03,11
-0.38176292,3.8018823,said_angeles_los_los angeles,A California wildfire relief effort,pagosasun.com,early_recovery,2025-02,11
7.4361024,2.9877393,game_los_los angeles_angeles,Rams RB Kyren Williams 'feeling good' about potential contract extension,nfl.com,later_recovery,2025-05,8
1.5598739,10.987409,game_los_los angeles_angeles,Vikings-Rams wild-card game on Monday moved to Arizona due to Los Angeles-area fires,nfl.com,active_fire,2025-01,8
1.4198188,11.092208,game_los_los angeles_angeles,Matthew Stafford hopes Rams' playoff win gave L.A. 'something to cheer about' during wildfire disaster: 'We knew we weren't just playing for us',nfl.com,active_fire,2025-01,8
