,DateString,Year,Month,Day,ppt,tmean,vpdmax
0,20250101,202,01,01,0.0,10.442489,12.00961
1,20250102,202,01,02,0.0,12.219202,16.060005
2,20250103,202,01,03,0.0,13.549481,19.282116
3,20250104,202,01,04,0.0,11.889861,15.975712
4,20250105,202,01,05,0.0,9.589332,11.247273
5,20250106,202,01,06,0.0,12.892441,18.632874
6,20250107,202,01,07,0.0,13.28236,19.446701
7,20250108,202,01,08,0.5581839,11.1106205,13.976311
8,20250109,202,01,09,0.0,10.390514,16.222769
9,20250110,202,01,10,0.006400831,11.592614,18.470394
10,20250111,202,01,11,0.011767173,11.42312,17.618694
11,20250112,202,01,12,0.009753394,10.383319,15.209704
12,20250113,202,01,13,0.0,8.491939,13.491506
13,20250114,202,01,14,0.0,7.1880627,12.451306
14,20250115,202,01,15,0.0,8.489101,13.877631
15,20250116,202,01,16,0.0,10.193311,16.809788
16,20250117,202,01,17,0.0,9.078616,15.673561
17,20250118,202,01,18,0.0,8.821974,9.747999
18,20250119,202,01,19,0.0,9.442354,11.716244
19,20250120,202,01,20,0.0,8.852676,10.961149
20,20250121,202,01,21,0.0,8.15184,14.672137
21,20250122,202,01,22,0.0,8.885089,16.776125
22,20250123,202,01,23,0.0,12.638388,21.793438
23,20250124,202,01,24,0.0,12.4167795,21.606766
24,20250125,202,01,25,0.0,10.902728,19.844069
25,20250126,202,01,26,4.1672044,7.960153,10.681525
26,20250127,202,01,27,13.260527,5.022115,2.9517925
27,20250128,202,01,28,2.6474288,5.5576816,5.964234
28,20250129,202,01,29,0.25146067,7.2563777,8.248287
29,20250130,202,01,30,0.21035658,7.790425,8.746634
30,20250131,202,01,31,0.042886153,7.430262,7.2843275
31,20250201,202,02,01,0.09254834,9.85643,12.816646
32,20250202,202,02,02,0.0,14.20274,13.869108
33,20250203,202,02,03,0.0,15.640493,17.200647
34,20250204,202,02,04,0.0,14.889547,18.584475
35,20250205,202,02,05,3.3154004,10.906388,9.73936
36,20250206,202,02,06,3.7442305,11.504768,3.8291304
37,20250207,202,02,07,21.192223,11.934372,4.3247447
38,20250208,202,02,08,3.328758,10.003255,6.7510877
39,20250209,202,02,09,0.0,9.62212,10.843418
40,20250210,202,02,10,0.0,10.261682,14.728433
41,20250211,202,02,11,0.0,8.273508,9.3265915
42,20250212,202,02,12,0.00087818556,8.26276,8.672617
43,20250213,202,02,13,5.644121,7.7831306,2.6992977
44,20250214,202,02,14,52.15166,9.580538,2.411322
45,20250215,202,02,15,1.3711002,8.84835,6.220421
46,20250216,202,02,16,0.018233031,10.459005,13.42527
47,20250217,202,02,17,0.0,13.679339,18.435951
48,20250218,202,02,18,0.0,12.101942,13.4717865
49,20250219,202,02,19,0.0,11.576636,13.346615
50,20250220,202,02,20,0.0,13.758486,17.834694
51,20250221,202,02,21,0.0,13.113794,16.671251
52,20250222,202,02,22,0.0,13.311835,18.597733
53,20250223,202,02,23,0.0,13.773649,20.525446
54,20250224,202,02,24,0.0,16.245325,24.673126
55,20250225,202,02,25,0.0,17.206497,23.310059
56,20250226,202,02,26,0.0,16.956924,24.158491
57,20250227,202,02,27,0.0017517314,17.026566,25.882969
58,20250228,202,02,28,0.0,16.357655,26.919823
59,20250301,202,03,01,0.0,14.69288,20.857704
60,20250302,202,03,02,0.0061037396,12.950363,11.890072
61,20250303,202,03,03,2.2924027,8.0034275,7.4144716
62,20250304,202,03,04,0.18817896,7.7886415,8.6132765
63,20250305,202,03,05,0.0,11.181296,13.389394
64,20250306,202,03,06,10.6404,7.82714,4.165086
65,20250307,202,03,07,3.2480917,5.296099,4.3171806
66,20250308,202,03,08,0.42362216,7.0554333,8.967513
67,20250309,202,03,09,0.11857811,9.504948,13.148821
68,20250310,202,03,10,0.0,11.8635645,17.376312
69,20250311,202,03,11,0.03468982,11.7619095,15.991689
70,20250312,202,03,12,1.4849075,9.084807,6.789052
71,20250313,202,03,13,24.122635,8.747244,4.302174
72,20250314,202,03,14,4.1779947,5.6355224,5.0181174
73,20250315,202,03,15,2.157852,4.9153714,3.4872088
74,20250316,202,03,16,0.1213151,9.195385,11.079233
75,20250317,202,03,17,0.0844275,11.933077,13.863504
76,20250318,202,03,18,1.3921012,9.665269,8.933297
77,20250319,202,03,19,0.028777493,8.821684,10.96692
78,20250320,202,03,20,0.0012657202,12.463126,18.097452
79,20250321,202,03,21,0.0,12.981618,15.968267
80,20250322,202,03,22,0.0,14.8830595,18.02557
81,20250323,202,03,23,0.0,14.807373,14.830787
82,20250324,202,03,24,0.0,15.966225,18.17343
83,20250325,202,03,25,0.0,19.680964,28.471115
84,20250326,202,03,26,0.001444806,18.143112,23.650366
85,20250327,202,03,27,0.0033713295,13.716679,10.854832
86,20250328,202,03,28,0.0022603879,12.664634,8.496271
87,20250329,202,03,29,0.0,11.695447,9.335168
88,20250330,202,03,30,0.076396674,11.464885,10.833457
89,20250331,202,03,31,1.0561539,11.128332,6.235274
